,user_name,country,review_title,review_description,designation,points,price,province,region_1,region_2,winery,variety,sentiment
10,@vboone,US,Cuvaison 2014 Estate Grown Sauvignon Blanc (Carneros),"With an alluring bouquet of fresh-cut jasmine and citrus, this is a light, vibrant wine, bristling in acidity that's fruity and briny in equal measure. Clean, crisp and fermented in stainless steel, it offers everything one wants in a refreshing quaff.",Estate Grown,90,18.0,California,Carneros,Napa-Sonoma,Cuvaison,Sauvignon Blanc,"Sentiment(polarity=0.2425925925925926, subjectivity=0.41111111111111115)"
11,@JoeCz,New Zealand,Dog Point 2013 Chardonnay (Marlborough),"This starts off a bit funky, with struck match aromas partially obscuring apple and citrus fruit. Yet it's full and custardy in feel, with hints of fruit showing through and a long, harmonious finish, so there's optimism for its future development. Drink now–2020.",,90,38.0,Marlborough,,,Dog Point,Chardonnay,"Sentiment(polarity=0.04999999999999999, subjectivity=0.34375)"
12,@vossroger,France,Henry Fessy 2015  Brouilly,"Produced from Henry Fessy's own cru vineyards, the wine is fruity and very accessible to drink young. Generous berry fruits and soft tannins make this an attractive wine. The aftertaste brings in light acidity. Drink now.",,86,20.0,Beaujolais,Brouilly,,Henry Fessy,Gamay,"Sentiment(polarity=0.41458333333333336, subjectivity=0.65625)"
13,@AnneInVino,Austria,H. & M. Hofer 2016 Grüner Veltliner (Weinland Österreich),"A creamy, rounded note hits the nose first, followed by aromas of green apple and pear. The palate presents lemony freshness that makes this an easy, dry and refreshing white with a lovely green-apple finish.",,88,15.0,Weinland Österreich,,,H. & M. Hofer,Grüner Veltliner,"Sentiment(polarity=0.20238095238095238, subjectivity=0.5452380952380953)"
14,@wineschach,Chile,Lapostolle 2007 Clos Apalta Red (Colchagua Valley),"Outstanding as always. Right from the first take it has an elevated sense of being. The nose is rich, warm and deeply fruited, with balsam wood and lemony notes. It's deep as a coal mine on the palate, with herbal, tobacco and leather accents sprucing up serious berry fruit flavors. Minty and sly on the finish, and lovely overall. Drink now through 2016.",Clos Apalta,93,80.0,Colchagua Valley,,,Lapostolle,Red Blend,"Sentiment(polarity=0.21773809523809523, subjectivity=0.5310714285714285)"
15,@vossroger,France,Château Castegens 2015  Castillon Côtes de Bordeaux,"Solid tannins mark this out as a wine that will need to age. Its structure dominates its black fruit, hiding it beneath a smoky, spicy character. Give it until 2020 before opening.",,88,18.0,Bordeaux,Castillon Côtes de Bordeaux,,Château Castegens,Bordeaux-style Red Blend,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.26666666666666666)"
16,@kerinokeefe,Italy,Pietro Zardini 2009  Amarone della Valpolicella,"Ripe dark fruit, leather and chocolate aromas lead the nose on this rich, full-bodied wine. The concentrated palate delivers layers of crushed black cherry, blackberry, cinnamon and clove. Accents of mocha and clove add depth while polished tannins give it a velvety texture. Drink 2015–2019.",,91,40.0,Veneto,Amarone della Valpolicella,,Pietro Zardini,Red Blend,"Sentiment(polarity=-0.028333333333333332, subjectivity=0.45666666666666667)"
17,@wineschach,Chile,Echeverria 2014 Reserva Unwooded Chardonnay (Curicó Valley),"Leesy aromas of tropical fruits, banana and canned peaches are sweet and candied but fair. Good acidity keeps this upright, while apple juice, peach and citrus flavors finish short but clean.",Reserva Unwooded,85,9.0,Curicó Valley,,,Echeverria,Chardonnay,"Sentiment(polarity=0.42333333333333323, subjectivity=0.6300000000000001)"
18,@kerinokeefe,Italy,Palladino 2013 Parafada  (Barolo),"Aromas suggesting underbrush, aromatic herb, violet, new leather and earthy game follow through to the chewy, full-bodied palate in this wine, along with ripe black cherry and a hint of baking spice. It's structured and surprisingly accessible, with rounded, velvety tannins. Drink 2018–2028.",Parafada,93,68.0,Piedmont,Barolo,,Palladino,Nebbiolo,"Sentiment(polarity=-0.031060606060606056, subjectivity=0.4525757575757575)"
19,@kerinokeefe,Italy,Val di Suga 2010 Vigna Spuntali  (Brunello di Montalcino),"Aromas of stewed prune and fig follow through to the evolved palate along with raisin, licorice and a green note of powdered sage. Austere, astringent tannins leave a raspy finish. You'll also notice the heat of evident alcohol.",Vigna Spuntali,87,70.0,Tuscany,Brunello di Montalcino,,Val di Suga,Sangiovese,"Sentiment(polarity=0.024999999999999994, subjectivity=0.275)"
20,,US,Rubberneck 2006 Cabernet Sauvignon (Paso Robles),"Robust and fleshy, this is soft, easy and slightly sweet. It has pie-filling flavors of blackberries and peppery spices.",,83,11.0,California,Paso Robles,Central Coast,Rubberneck,Cabernet Sauvignon,"Sentiment(polarity=0.19583333333333333, subjectivity=0.5833333333333334)"
21,@kerinokeefe,Italy,Ceretto 2011  Barolo,"Aromas of ripe, dark berry, mocha, toast and a whiff of clove lead the nose. The forward palate offers ripe black cherry, fleshy raspberry, vanilla, light oak, coconut and coffee alongside close-grained tannins. A mint note closes the finish. This is straightforward and already accessible so enjoy 2016–2020.",,89,55.0,Piedmont,Barolo,,Ceretto,Nebbiolo,"Sentiment(polarity=0.1904761904761905, subjectivity=0.3976190476190476)"
22,,US,Vision Cellars 2006 Las Alturas Vineyard Pinot Noir (Santa Lucia Highlands),"Too big by far for a Pinot Noir, this single-vineyard bottling is heavy-handed. It has caramelized cherry and blackberry fruit flavors and a soft, candied quality. Ultimately, it lacks the elegance and delicacy of a fine wine.",Las Alturas Vineyard,84,48.0,California,Santa Lucia Highlands,Central Coast,Vision Cellars,Pinot Noir,"Sentiment(polarity=0.12333333333333334, subjectivity=0.5900000000000001)"
23,,Italy,Eredi Lodali 2008 Lorens  (Barbaresco),"Sophisticated and bright, this beautiful Barbaresco presents loads of vanilla, dark fruit, spice and toasted nut intensity. There's structure and longevity here and the wine lasts many long minutes on the palate thanks to its bone-dry tannins.",Lorens,91,,Piedmont,Barbaresco,,Eredi Lodali,Nebbiolo,"Sentiment(polarity=0.3642857142857144, subjectivity=0.6142857142857142)"
24,@vossroger,France,Grand Bourgeau 2012  Blaye Côtes de Bordeaux,"Still dominated by its tannins, this is a full, structured wine. Dense and with fragrant acidity and black currant flavors, it has a way to go before it is ready to drink. Wait until 2017. The estate is an Alliance Bourg co-operative member.",,86,18.0,Bordeaux,Blaye Côtes de Bordeaux,,Grand Bourgeau,Bordeaux-style Red Blend,"Sentiment(polarity=0.12777777777777777, subjectivity=0.49444444444444446)"
25,@vossroger,France,Château Rauzan-Ségla 2009  Margaux,"A rich and opulent wine, very ripe, packed with luscious blackberry and damson fruit as well as sweet tannins. It is a fruit salad of fruit flavors given structure by a core of dryness. Already a gorgeous wine, but one that will also age.",,95,116.0,Bordeaux,Margaux,,Château Rauzan-Ségla,Bordeaux-style Red Blend,"Sentiment(polarity=0.40625, subjectivity=0.65)"
26,@wineschach,Chile,Agustinos 2015 Gran Terroir Estate Grown La Huella Vineyard Malbec (Bío Bío Valley),"Strong but pleasant oak-based aromas of sandalwood complement lightly herbal plum and berry notes. This feels wiry and intense, with rugged tannins. Herbal, oaky berry flavors finish with scratchy tannins and a distant note of green.",Gran Terroir Estate Grown La Huella Vineyard,88,18.0,Bío Bío Valley,,,Agustinos,Malbec,"Sentiment(polarity=0.24444444444444438, subjectivity=0.6749999999999999)"
27,@vossroger,France,Albert Bichot 2015 Domaine Long-Depaquit Les Vaillons Premier Cru  (Chablis),"This young, textured wine shows a mix of strong minerality and ripe white fruits. The Albert Bichot Chablis domaine has a fine parcel from this premier cru. Refreshing citrus and tight acidity contrast with the warmer vanilla and yellow fruits. Drink from 2021.",Domaine Long-Depaquit Les Vaillons Premier Cru,93,45.0,Burgundy,Chablis,,Albert Bichot,Chardonnay,"Sentiment(polarity=0.18163265306122447, subjectivity=0.4170068027210884)"
28,@vossroger,France,Château du Glana 2010 Barrel sample  (Saint-Julien),"91-93 Smooth, rich strong wine, with delicious acidity, pushed by ripe fruit and gorgeous tannins.",Barrel sample,92,,Bordeaux,Saint-Julien,,Château du Glana,Bordeaux-style Red Blend,"Sentiment(polarity=0.5816666666666667, subjectivity=0.7766666666666666)"
29,,US,Falcone 2009 Chardonnay (Santa Barbara County),"Falcone wisely reins in the fruity richness and oak on this wine, allowing acidity and citrus flavors to star. That is a nod to Santa Barbara's cool-climate terroir, not winemaker interference. The wine is dry, crisp and minerally, with subtle lime, Meyer lemon and Asian pear flavors, with a hint of oak. A lovely restaurant wine at a fair price.",,90,25.0,California,Santa Barbara County,Central Coast,Falcone,Chardonnay,"Sentiment(polarity=0.25, subjectivity=0.580952380952381)"
30,@kerinokeefe,Italy,Cottanera 2011 Rosso  (Etna),"A blend of Nerello Mascalese and Nerello Cappuccio, this opens with aromas of black fruit, toasted oak and espresso. The palate offers dried black cherry, ground pepper and roasted coffee bean alongside polished tannins.",Rosso,89,49.0,Sicily & Sardinia,Etna,,Cottanera,Red Blend,"Sentiment(polarity=-0.10833333333333334, subjectivity=0.36666666666666664)"
31,@JoeCz,New Zealand,Villa Maria 2011 Reserve Gimblett Gravels Syrah (Hawke's Bay),"VM takes a huge leap in the Syrah race with this wine. It's inky purple in color, with hints of pepper, espresso and black olive accenting blueberry and blackberry fruit. A plush coating partially conceals ample structure, while the richly textured finish lingers a good long time. Drink now–2025.",Reserve Gimblett Gravels,92,61.0,Hawke's Bay,,,Villa Maria,Syrah,"Sentiment(polarity=0.19305555555555556, subjectivity=0.563888888888889)"
32,,US,Tortoise Creek 2006 Cabernet Sauvignon (Central Coast),"A dry, decent wine for everyday purposes, this Cab has blackberry, nettle, anise and clove flavors that make the finish tannicly spicy. This is a pretty good price for a steaks and chops wine of some elegance.",,84,12.0,California,Central Coast,Central Coast,Tortoise Creek,Cabernet Sauvignon,"Sentiment(polarity=0.16999999999999998, subjectivity=0.6933333333333334)"
33,@kerinokeefe,Italy,Badia a Coltibuono 2011 Sangioveto  (Chianti Classico),"Big and bold, this opens with aromas of baked plum, blue flowers and sweet baking spice. The robust, chewy palate doles out fleshy black cherry, espresso, clove and licorice alongside the warmth of evident alcohol. Solid but velvety tannins support the ripe fruit flavors. Drink 2016–2021.",Sangioveto,90,60.0,Tuscany,Chianti Classico,,Badia a Coltibuono,Sangiovese,"Sentiment(polarity=0.10952380952380954, subjectivity=0.3285714285714286)"
34,@paulgwine ,US,Durant 2013 Raven Chardonnay (Dundee Hills),"Peach pit, apple and pear fruit flavors combine in this crisp, somewhat steely wine that has a classic elegance. Depth, length and finishing minerality make this a wine worth extra attention.",Raven,92,25.0,Oregon,Dundee Hills,Willamette Valley,Durant,Chardonnay,"Sentiment(polarity=0.17916666666666664, subjectivity=0.19583333333333333)"
35,@AnneInVino,France,Domaine Barmès-Buecher 2014 Réserve Pinot Noir (Alsace),"The nose is very quiet but the body emanates a generosity despite its lightness. There is red-cherry fruit and a certain ampleness on a slender, fresh body. Tannins are like barely-there linens. The finish is wonderfully clean.",Réserve,89,30.0,Alsace,Alsace,,Domaine Barmès-Buecher,Pinot Noir,"Sentiment(polarity=0.22023809523809523, subjectivity=0.5511904761904762)"
36,@vboone,US,Sequoia Grove 2012 Cabernet Sauvignon (Napa Valley),"The winery's larger-production blend of several vineyard sources, given 20 months in American oak, this wine opens in pungent earth, soy and mushroom, reminiscent of a beef bouillon or beef stew. Big tannins surround the fruit, accented in black licorice and black coffee before finishing lean.",,87,38.0,California,Napa Valley,Napa,Sequoia Grove,Cabernet Sauvignon,"Sentiment(polarity=-0.05555555555555555, subjectivity=0.24444444444444444)"
37,@vboone,US,Keating 2013 Finvarra Red (North Coast),"From vineyards across both Napa and Sonoma, this blends 67% Cabernet Sauvignon with 16% Petit Verdot, 15% Merlot and 2% Malbec. It's structured and herb-driven, with ample ripeness. Black fruit and cedar flavors dominate through the lengthy, peppery finish.",Finvarra,92,55.0,California,North Coast,North Coast,Keating,Bordeaux-style Red Blend,"Sentiment(polarity=-0.13333333333333333, subjectivity=0.4666666666666667)"
38,@mattkettmann,US,Dragonette 2012 Vogelzang Sauvignon Blanc (Happy Canyon of Santa Barbara),"This is a softer Sauvignon Blanc for those not sworn to the grassy side of the grape, as the Buellton-based winery does a lot of barrel-fermenting. Aromas include pressed kiwi and a sour pucker of lime, and the broiled pear flavors prove easy drinking, if not exceedingly complex.",Vogelzang,88,42.0,California,Happy Canyon of Santa Barbara,Central Coast,Dragonette,Sauvignon Blanc,"Sentiment(polarity=-0.005555555555555554, subjectivity=0.4444444444444445)"
39,,US,MacLaren 2009 Judge Family Vineyard Syrah (Bennett Valley),"Bennett Valley is a cooler section of Sonoma County, and maybe the cool vintage was just too much. This wine isn't quite ripe.It's bone dry, acidic and tannic, and the fruit is herbal.",Judge Family Vineyard,84,38.0,California,Bennett Valley,Sonoma,MacLaren,Syrah,"Sentiment(polarity=0.16111111111111112, subjectivity=0.4833333333333334)"
40,,Italy,Primosic 2006 Klin White (Collio),"Here's a rich, oak-aged blend of Sauvignon, Chardonnay, Ribolla Gialla and Friuliano that shows the aromatic characteristics of Sauvignon backed by the creamy texture of Chardonnay and Ribolla Gialla. This is a thick, ripe wine that lends a touch of melon sweetness in the mouth.",Klin,89,35.0,Northeastern Italy,Collio,,Primosic,White Blend,"Sentiment(polarity=0.03749999999999998, subjectivity=0.6125)"
41,@gordone_cellars,US,Heartache 2011 Red (California),"This basic wine that has earthy aromas, slightly pruney flavors and a smooth-enough texture.",,81,11.0,California,California,California Other,Heartache,Red Blend,"Sentiment(polarity=-0.08333333333333333, subjectivity=0.14583333333333331)"
42,@vboone,US,Lawer 2015 Rosé of Syrah (Knights Valley),"Entirely varietal, and given five months to gel in stainless steel, this is a dark copper-red wine that's noticeably earthy on the nose. Dry, woody and a touch sour in cherry and strawberry, it should be enjoyed chilled and with ceviche.",Rosé of,84,22.0,California,Knights Valley,Sonoma,Lawer,Syrah,"Sentiment(polarity=0.05555555555555556, subjectivity=0.4375)"
43,,Italy,Fattoria di Casalbosco 2005 Porpora Riserva  (Chianti),"The name Porpora refers to this wine's ruby red color and rich texture. Its aromas recall mature fruit, black cherry and chewy blackberry. From the hot 2005 vintage, Porpora Riserva is definitely on the ripe, jammy side.",Porpora Riserva,88,20.0,Tuscany,Chianti,,Fattoria di Casalbosco,Sangiovese,"Sentiment(polarity=0.09305555555555556, subjectivity=0.4388888888888889)"
44,@mattkettmann,US,Sculpterra 2011 Cabernet Franc (Paso Robles),"There's a rainbow of peppercorns represented on the nose of this varietally classic wine, with a tiny bit of pasilla chile greenness cutting across strawberry and cherry fruit. Those red fruits join with blueberry on the palate, which is complex with pipe tobacco, tomato leaf and herbal, peppery spices.",,90,36.0,California,Paso Robles,Central Coast,Sculpterra,Cabernet Franc,"Sentiment(polarity=-0.1388888888888889, subjectivity=0.41111111111111115)"
45,@vossroger,Portugal,Herdade da Comporta 2012 Chão das Rolas Red (Península de Setúbal),"This is a bright, fruity wine, full of acidity and generous red fruit flavors with a soft texture. This will be ready to drink in a year.",Chão das Rolas,85,11.0,Península de Setúbal,,,Herdade da Comporta,Portuguese Red,"Sentiment(polarity=0.27, subjectivity=0.44000000000000006)"
46,@vossroger,Portugal,Dona Maria-Júlio Bastos 2014 Dona Maria Branco White (Alentejano),"This wine is soft, a gentle meander through white fruit flavors and light acidity. It has an attractive fresh character at the end.",Dona Maria Branco,84,,Alentejano,,,Dona Maria-Júlio Bastos,Portuguese White,"Sentiment(polarity=0.3, subjectivity=0.5583333333333332)"
47,@mattkettmann,US,Tensley 2015 All Blocks Tensley Vineyards Red (Santa Barbara County),"Joey Tensley departs from his usual dark fruit intensity to weave together a more chaparral spice-driven Rhône-style blend in this bottling, which shows marjoram, bay leaf and sweet sage on the nose. The palate packs those dried herbs onto a beef roast, throwing in dusty earth and dried berries to round out the sip.",All Blocks Tensley Vineyards,91,34.0,California,Santa Barbara County,Central Coast,Tensley,Rhône-style Red Blend,"Sentiment(polarity=-0.06875, subjectivity=0.5)"
48,,US,Rappahannock Cellars 2014 Rosé (Virginia),"Vibrant pink in color, this rosé of Chambourcin, Cabernet Franc, Cabernet Sauvignon and Merlot is light bodied and easy to drink, driven by tart watermelon.",,84,23.0,Virginia,Virginia,,Rappahannock Cellars,Rosé,"Sentiment(polarity=0.225, subjectivity=0.5416666666666666)"
49,,US,Spotted Owl 2007 Alexandria's Cuvée Syrah (Mount Veeder),"This Syrah is hard and tannic now, and it will always be hard and tannic, but it's quite an impressive wine. So dense and layered, it reveals tiers of complexity with every sip as it airs in the glass. The flavors are of pure, ripe wild blackberries, with currant, coffee and tobacco notes, and sprinkled with crushed black pepper. Drink now–2013.",Alexandria's Cuvée,92,69.0,California,Mount Veeder,Napa,Spotted Owl,Syrah,"Sentiment(polarity=0.0663265306122449, subjectivity=0.5023809523809524)"
50,@wawinereport,US,Maryhill 2014 Proprietor's Reserve Sangiovese (Columbia Valley (WA)),"The high-toned aromas of raspberry, barrel spice and herb bring a touch of heat along with them. The palate offers tart tangy acidity, with the tannins seeming a bit bunched up.",Proprietor's Reserve,87,36.0,Washington,Columbia Valley (WA),Columbia Valley,Maryhill,Sangiovese,"Sentiment(polarity=0.1, subjectivity=0.0)"
51,@vossroger,France,Thiénot 2007 Cuvée Alain Thiénot  (Champagne),"White flowers and almonds give fragrance to this Chardonnay-dominant Champagne. It is a concentrated wine, full of ripe white fruits, with a tight core of acidity. Named after the producer's owner, it is a flagship wine, intense and just ready to drink.",Cuvée Alain Thiénot,94,100.0,Champagne,Champagne,,Thiénot,Champagne Blend,"Sentiment(polarity=0.09523809523809523, subjectivity=0.3892857142857143)"
52,@wawinereport,US,Watermill 2012 Praying Mantis Syrah (Walla Walla Valley (OR)),"The oak is quite primary on this wine with its aromas of vanilla and coffee in front of mineral and cranberry. The palate has sweet, rich fruit flavors with a tart finish.",Praying Mantis,88,36.0,Oregon,Walla Walla Valley (OR),Oregon Other,Watermill,Syrah,"Sentiment(polarity=0.375, subjectivity=0.6333333333333333)"
53,@gordone_cellars,US,Ruby Hill Winery 2013 Reserve Collection Chardonnay (Livermore Valley),"An unusually vivid gold color is the first indication that this medium-bodied wine will turn up the dials on flavor. Aromas resemble wood smoke, nutmeg, sandalwood and vanilla, while flavors are subtly fruity but largely oaky in the form of marzipan, toasted bread and other savory nuances. It is gorgeous in a voluptuous way.",Reserve Collection,92,25.0,California,Livermore Valley,Central Coast,Ruby Hill Winery,Chardonnay,"Sentiment(polarity=0.13849206349206347, subjectivity=0.5478174603174603)"
54,@vboone,US,Vinum Cellars 2013 Cabernet Sauvignon (Napa Valley),"Impressive at any price, but especially notable at this cost, this 100% varietal red is a testament to the power and concentration of the vintage, integrated with a push of tannin on the back of the tongue. Spicy clove and pepper ride a wave of cassis, dark cherry and chocolate, needing time to unwind in the glass. It will do well in the cellar through 2028.",,92,42.0,California,Napa Valley,Napa,Vinum Cellars,Cabernet Sauvignon,"Sentiment(polarity=0.37, subjectivity=0.48)"
55,@vboone,US,Amici 2014 Reserve Pinot Noir (Russian River Valley),"Spicy acidity wraps around a lengthy and intense experience of full-bodied concentration and power in this well-made wine. Forest pine, red cherry and vanilla combine effortlessly to provide a robust flavor profile that's memorable and rich.",Reserve,93,65.0,California,Russian River Valley,Sonoma,Amici,Pinot Noir,"Sentiment(polarity=0.195, subjectivity=0.67)"
56,@gordone_cellars,US,AVA Grace Vineyards 2015 Fruity Silky Soft Merlot (California),"This is a very fresh medium-bodied wine that overflows with ripe raspberry and blackberry flavors. It's the opposite of a serious age-worthy wine, but wonderful to drink now for its effusive fruit flavors that come along with just enough tannin for support on the palate.",Fruity Silky Soft,88,12.0,California,California,California Other,AVA Grace Vineyards,Merlot,"Sentiment(polarity=0.21133333333333332, subjectivity=0.5633333333333332)"
57,@paulgwine ,US,Adelsheim 2012 Chardonnay (Willamette Valley),"Light and lively, this is a bright, tangy, fruit-driven effort, with little or no evident barrel flavor. Apples and white peaches hold down the center, with a crisp, fresh finish.",,88,22.0,Oregon,Willamette Valley,Willamette Valley,Adelsheim,Chardonnay,"Sentiment(polarity=0.12183080808080808, subjectivity=0.40555555555555556)"
58,,Chile,Cousiño-Macul 1997 Antiguas Reservas Cabernet Sauvignon (Maipo Valley),"Juicy dark cherry and berry aromas with cedar and cola notes present a Pinot Noir like profile for this wine. It continues the disguise with its cherry and oak flavors, rather light mouthfeel and lack of density for a Cabernet based wine.",Antiguas Reservas,83,13.0,Maipo Valley,,,Cousiño-Macul,Cabernet Sauvignon,"Sentiment(polarity=0.08333333333333333, subjectivity=0.3666666666666667)"
59,@kerinokeefe,Italy,Francesco Rinaldi 2011 Cannubi  (Barolo),"Subdued but classic Nebbiolo aromas of red berry, crushed rose, scorched earth and a balsamic note emerge on this full-bodied wine. The tight palate offers wild cherry, black raspberry, chopped mint and licorice supported by a backbone of fresh acidity and firm tannins.",Cannubi,92,,Piedmont,Barolo,,Francesco Rinaldi,Nebbiolo,"Sentiment(polarity=0.0474025974025974, subjectivity=0.3487012987012986)"
60,@mattkettmann,US,Barton 2014 Vogelzang Vineyard Sauvignon Blanc (Happy Canyon of Santa Barbara),"Very light and summery on the nose, this bottling shows aromas of yellow melon, green pear, lime blossoms, lime juice and a touch of chalk. Wet rocks, cut garden herbs and green apple skins emerge on the refreshing palate, which is perfect for sunny days and shellfish.",Vogelzang Vineyard,89,22.0,California,Happy Canyon of Santa Barbara,Central Coast,Barton,Sauvignon Blanc,"Sentiment(polarity=0.21714285714285714, subjectivity=0.5585714285714286)"
61,@vossroger,Portugal,1912 Winemakers 2009 Piorro Reserva Red (Douro),"An oak-aged wine that is rich and structured as well as brilliant in its fruitiness, this has a solid core of dark tannins that give weight and density. The end, with its fresh acidity, has a lift as well as promise of further aging. Drink from 2016 and until 2022. Brothers António and Edmar Monteiro created 1912 Winemakers based on Quinta de São Bernardo vineyards first planted by the family in 1912.",Piorro Reserva,92,,Douro,,,1912 Winemakers,Portuguese Red,"Sentiment(polarity=0.2392857142857143, subjectivity=0.511904761904762)"
62,@wineschach,Argentina,Aniello 2015 Soil Blanco de Pinot Noir (Patagonia),"Tan in color, with dry lightly oxidized aromas as well as notes of white pepper and peach pit, this white Pinot Noir is low on fruit and feels tight, acidic and raw. Tart apple and sour lemon flavors include a note of fino Sherry, while this closes with a steady beam of sharp acidity.",Soil Blanco de,86,20.0,Other,Patagonia,,Aniello,Pinot Noir,"Sentiment(polarity=-0.018434065934065935, subjectivity=0.3697252747252747)"
63,,US,Niner 2007 Bootjack Ranch Sangiovese (Paso Robles),"Tart in acidity, with simple cherry flavors that taste baked into a pie. But the finish is fully dry. Tannic, too, with the result that the mouthfeel is hard as nails.",Bootjack Ranch,83,24.0,California,Paso Robles,Central Coast,Niner,Sangiovese,"Sentiment(polarity=-0.11944444444444445, subjectivity=0.4996031746031746)"
64,@vboone,US,En Garde 2009 Reserve Cabernet Sauvignon (Diamond Mountain District),"This exotic Cabernet Sauvignon, which is aged entirely in new French oak, needs time to develop. A savory edge of forest floor and cranberry drive the palate, while notes of pencil shavings, cedar and garrigue add depth. The palate is lifted in acidity, with tightly gripped tannins on the finish. Cellar through 2019.",Reserve,94,98.0,California,Diamond Mountain District,Napa,En Garde,Cabernet Sauvignon,"Sentiment(polarity=0.07155844155844156, subjectivity=0.428051948051948)"
